Hardness (HVN),Compressive strength (MPa),Plasticity (%) - Compressive,FCC,BCC,HCP,IM,Ag,Al,B,C,Ca,Co,Cr,Cu,Fe,Ga,Ge,Hf,Li,Mg,Mn,Mo,N,Nb,Nd,Ni,Pd,Re,Sc,Si,Sn,Ta,Ti,V,W,Y,Zn,Zr,Processing_Temperature_C,Processing_Temperature_K,Total_Composition,Num_Elements,Cu_Content,Fe_Content,Cu_Fe_Ratio,Num_Phases,Num_Crystal_Structures,Method_Other,Method_Unknown,Method_annealing,Method_arc_melting,Method_as_cast,Method_room_temperature,Method_sintering,Has_FCC_Phase,Has_BCC_Phase,Has_HCP_Phase,Has_IM_Phase,Source
449.0,1247.0,4.3,1,0,0,0,0,0.2,0.0,0,0,0.0,0.0,0.2,0.2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.2,0,0,0,0.0,0.0,0,0.2,0.0,0,0.0,0.0,0.0,899.85,1173.0,1.0,5,0.2,0.2,1.0,2.0,1,False,False,True,False,False,False,False,1,0,0,0,dx.doi.org/10.1016/j.apsusc.2015.07.207
596.12,1238.0,7.38,1,0,0,0,0,0.167,0.0,0,0,0.0,0.0,0.167,0.167,0,0,0.0,0.0,0.0,0.167,0.0,0.0,0.0,0,0.0,0,0,0,0.0,0.0,0,0.167,0.167,0,0.0,0.0,0.0,1100.0,1373.15,1.002,6,0.167,0.167,1.0,1.0,1,False,False,False,False,False,False,True,1,0,0,0,https://doi.org/10.1016/j.jallcom.2021.163352
410.0,1234.0,9.0,1,1,0,0,0,0.143,0.0,0,0,0.143,0.143,0.143,0.143,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.143,0,0,0,0.0,0.0,0,0.143,0.0,0,0.0,0.0,0.0,499.85,773.0,1.001,7,0.143,0.143,1.0,2.0,2,False,True,False,False,False,False,False,1,1,0,0,https://doi.org/10.1016/j.dib.2018.11.111
410.0,1234.0,9.0,0,0,0,0,0,0.143,0.0,0,0,0.143,0.143,0.143,0.143,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.143,0,0,0,0.0,0.0,0,0.143,0.0,0,0.0,0.0,0.0,499.85,773.0,1.001,7,0.143,0.143,1.0,1.0,0,False,True,False,False,False,False,False,0,0,0,0,dx.doi.org/10.1016/j.matchar.2016.02.018
410.0,1217.74,11.3,1,0,0,0,0,0.0,0.096,0,0,0.192,0.0,0.192,0.192,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.288,0,0,0,0.0,0.0,0,0.0,0.0,0,0.038,0.0,0.0,196.0,469.15,0.998,6,0.192,0.192,1.0,1.0,1,True,False,False,False,False,False,False,1,0,0,0,https://doi.org/10.1016/j.jallcom.2022.164310
434.0,1210.0,1.8,1,0,0,0,0,0.225,0.0,0,0,0.0,0.0,0.2,0.15,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.2,0,0,0,0.0,0.0,0,0.225,0.0,0,0.0,0.0,0.0,499.85,773.0,1.0000000000000002,5,0.2,0.15,1.3333333333333335,2.0,1,False,False,True,False,False,False,False,1,0,0,0,dx.doi.org/10.1016/j.apsusc.2015.07.207
410.0,1198.22,11.3,1,0,0,0,0,0.0,0.096,0,0,0.192,0.0,0.192,0.192,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.288,0,0,0,0.0,0.0,0,0.0,0.0,0,0.038,0.0,0.0,196.0,469.15,0.998,6,0.192,0.192,1.0,1.0,1,True,False,False,False,False,False,False,1,0,0,0,https://doi.org/10.1016/j.jallcom.2022.164310
410.0,1164.26,11.3,1,0,0,0,0,0.0,0.096,0,0,0.192,0.0,0.192,0.192,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.288,0,0,0,0.0,0.0,0,0.0,0.0,0,0.038,0.0,0.0,196.0,469.15,0.998,6,0.192,0.192,1.0,1.0,1,True,False,False,False,False,False,False,1,0,0,0,https://doi.org/10.1016/j.jallcom.2022.164310
410.0,1150.0,27.0,1,1,0,0,0,0.151,0.0,0,0,0.189,0.189,0.094,0.189,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.189,0,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,499.85,773.0,1.001,6,0.094,0.189,0.4973544973544973,2.0,2,False,True,False,False,False,False,False,1,1,0,0,http://dx.doi.org/10.1016/j.jallcom.2014.06.090
374.0,1145.0,26.9,1,0,0,0,0,0.0,0.0,0,0,0.2,0.16,0.2,0.2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.24,0,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,499.85,773.0,1.0,5,0.2,0.2,1.0,2.0,1,False,False,False,False,False,False,True,1,0,0,0,dx.doi.org/10.1016/j.jallcom.2015.11.205
