Id,Composition,Phases present,Hardness (HVN),Yield Strength (MPa),Ultimate Tensile Strength (MPa),Elongation (%),Compressive strength (MPa),Plasticity (%) - Compressive,Note on any unqiue processing or data features,Source,FCC,BCC,HCP,IM,Ag,Al,B,C,Ca,Co,Cr,Cu,Fe,Ga,Ge,Hf,Li,Mg,Mn,Mo,N,Nb,Nd,Ni,Pd,Re,Sc,Si,Sn,Ta,Ti,V,W,Y,Zn,Zr
151,CoCrCuFeMnNiTiV,FCC + BCC + IM,,,,,1312,1,,https://doi.org/10.1016/j.dib.2018.11.111,1,1,0,1,0,0,0,0,0,0.125,0.125,0.125,0.125,0,0,0,0,0,0.125,0,0,0,0,0.125,0,0,0,0,0,0,0.125,0.125,0,0,0,0
51,CoCrCuFeNiTi,FCC,,,,,1272,2,,https://doi.org/10.1016/j.dib.2018.11.111,1,0,0,0,0,0,0,0,0,0.167,0.167,0.167,0.167,0,0,0,0,0,0,0,0,0,0,0.167,0,0,0,0,0,0,0.167,0,0,0,0,0
657,Al25.0Ti25.0Ni25.0Cu25.0,FCC,416,,,,1263,1.2,1173K annealing,dx.doi.org/10.1016/j.apsusc.2015.07.207,1,0,0,0,0,0.25,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0.25,0,0,0,0,0
892,Al0.5CoCrCuFeNiSi0.0,FCC+BCC,263,,,,1260,35,,http://dx.doi.org/10.1016/j.jallcom.2014.11.085,1,1,0,0,0,0.091,0,0,0,0.182,0.182,0.182,0.182,0,0,0,0,0,0,0,0,0,0,0.182,0,0,0,0,0,0,0,0,0,0,0,0
647,Al20.0Ti20.0Ni20.0Cu20.0Fe20.0,FCC1 + FCC2,449,,,,1247,4.3,1173K annealing,dx.doi.org/10.1016/j.apsusc.2015.07.207,1,0,0,0,0,0.2,0,0,0,0,0,0.2,0.2,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0.2,0,0,0,0,0
525,AlCuFeMnTiV,FCC,596.12,,,,1238,7.38,Sintering temperature 1100°C,https://doi.org/10.1016/j.jallcom.2021.163352,1,0,0,0,0,0.167,0,0,0,0,0,0.167,0.167,0,0,0,0,0,0.167,0,0,0,0,0,0,0,0,0,0,0,0.167,0.167,0,0,0,0
56,AlCoCrCuFeNiTi,FCC + BCC,,,,,1234,9,,https://doi.org/10.1016/j.dib.2018.11.111,1,1,0,0,0,0.143,0,0,0,0.143,0.143,0.143,0.143,0,0,0,0,0,0,0,0,0,0,0.143,0,0,0,0,0,0,0.143,0,0,0,0,0
791,AlCrFeCoNiCuTi,,,,,,1234,9,,dx.doi.org/10.1016/j.matchar.2016.02.018,0,0,0,0,0,0.143,0,0,0,0.143,0.143,0.143,0.143,0,0,0,0,0,0,0,0,0,0,0.143,0,0,0,0,0,0,0.143,0,0,0,0,0
572,FeCoNi1.5CuB0.5Y0.2,FCC,,,,,1217.74,,"−196 °C, 36 h, 1 °C/min",https://doi.org/10.1016/j.jallcom.2022.164310,1,0,0,0,0,0,0.096,0,0,0.192,0,0.192,0.192,0,0,0,0,0,0,0,0,0,0,0.288,0,0,0,0,0,0,0,0,0,0.038,0,0
650,Al22.5Ti22.5Ni20.0Cu20.0Fe15.0,FCC1 + FCC2,434,,,,1210,1.8,773K annealing,dx.doi.org/10.1016/j.apsusc.2015.07.207,1,0,0,0,0,0.225,0,0,0,0,0,0.2,0.15,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0.225,0,0,0,0,0
