Unique ID,Composition,doi,Phase,ρ (g/cm<sup>3</sup>),E (GPa),σ (MPa) at 23 C,σ(MPa) at 1000 C,σ(MPa) at 1200 C,G (GPa),C11 (GPa),Fracture Toughness,Ductility [%],Test Type
7-13242627282942-01515151515156-000194_1,AlCoCrCuFeMo<sub>0.4</sub>Ni,10.1016/j.jallcom.2018.01.247,,,,1690,,,,,,1.5,C
7-13242627282942-01515151515159-000194_1,AlCoCrCuFeMo<sub>0.6</sub>Ni,10.1016/j.jallcom.2018.01.247,,,,1880,,,,,,1.4,C
7-13242627282942-14141414141411-000194_1,AlCoCrCuFeMo<sub>0.8</sub>Ni,10.1016/j.jallcom.2018.01.247,,,,1920,,,,,,1.2,C
7-13242627282942-14141414141414-000194_1,AlCoCrCuFeMoNi,10.1016/j.jallcom.2018.01.247,,,,1750,,,,,,1.1,C
6-222426272829-091818181818-000194_1,CoCrCuFeNiTi<sub>0.5</sub>,10.1016/j.jallcom.2018.01.247,,,,700,,,,,,21.6,C
6-222426272829-131717171717-000194_1,CoCrCuFeNiTi<sub>0.8</sub>,10.1016/j.jallcom.2018.01.247,,,,1042,,,,,,2.11,C
6-222426272829-161616161616-000194_1,CoCrCuFeNiTi,10.1016/j.jallcom.2018.01.247,,,,1272,,,,,,0,C
5-1326272829-2020202020-000209_1,FeCoNi(CuAl)<sub>0.8</sub>,10.1016/j.jallcom.2018.02.189,FCC,,,601,,,,,,37.2,C
6-132627282931-019191919190-000209_1,FeCoNi(CuAl)<sub>0.8</sub>Ga<sub>0.02</sub>,10.1016/j.jallcom.2018.02.189,FCC,,,803,,,,,,39.4,C
6-132627282931-019191919190-000209_2,FeCoNi(CuAl)<sub>0.8</sub>Ga<sub>0.04</sub>,10.1016/j.jallcom.2018.02.189,FCC,,,886,,,,,,28.9,C
6-132627282931-019191919191-000209_1,FeCoNi(CuAl)<sub>0.8</sub>Ga<sub>0.06</sub>,10.1016/j.jallcom.2018.02.189,FCC,,,993,,,,,,23.6,C
6-132627282931-019191919191-000209_2,FeCoNi(CuAl)<sub>0.8</sub>Ga<sub>0.08</sub>,10.1016/j.jallcom.2018.02.189,FCC,,,1176,,,,,,16.5,C
5-2526272829-2020202020-000216_1,CoCuFeMnNi,10.1016/j.matdes.2018.01.045,FCC,8.39,,342,,,,,,38,T
5-1326272829-0724242417-000216_1,Al<sub>8</sub>Co<sub>25</sub>Cu<sub>18</sub>Fe<sub>25</sub>Ni<sub>25</sub>,10.1016/j.matdes.2018.01.045,FCC,7.99,,192,,,,,,,
6-132426272829-201616161616-000219_1,Al<sub>1.25</sub>CoCrCuFeNi,10.1016/j.msea.2017.12.084,,,,1350,,,,,,15.3,C
6-132426272829-201616161616-000219_2,Al<sub>1.25</sub>CoCrCuFeNi,10.1016/j.msea.2017.12.084,,,,1300,,,,,,6,N/A
6-132426272829-201616161616-000219_3,Al<sub>1.25</sub>CoCrCuFeNi,10.1016/j.msea.2017.12.084,,,,1500,,,,,,12.5,N/A
6-132426272829-201616161616-000219_4,Al<sub>1.25</sub>CoCrCuFeNi,10.1016/j.msea.2017.12.084,,,,1000,,,,,,20,N/A
6-132426272829-201616161616-000219_5,Al<sub>1.25</sub>CoCrCuFeNi,10.1016/j.msea.2017.12.084,,,,790,,,,,,0.2,T
6-132426272829-201616161616-000219_6,Al<sub>1.25</sub>CoCrCuFeNi,10.1016/j.msea.2017.12.084,,,,1040,,,,,,1,N/A
6-132426272829-201616161616-000219_7,Al<sub>1.25</sub>CoCrCuFeNi,10.1016/j.msea.2017.12.084,,,,1430,,,,,,29.6,N/A
6-132426272829-201616161616-000219_8,Al<sub>1.25</sub>CoCrCuFeNi,10.1016/j.msea.2017.12.084,,,,2050,,,,,,4.5,N/A
6-132426272829-201616161616-000219_9,Al<sub>1.25</sub>CoCrCuFeNi,10.1016/j.msea.2017.12.084,,,,1900,,,,,,7.9,N/A
